section,doc_id,topic_id,probability
science,http://www.bbc.co.uk/news/science-environment-35208482,3,0.162162162162
business,http://www.bbc.co.uk/news/business-35152801,2,0.32
uk,http://www.bbc.co.uk/news/uk-35208485,6,0.25
tech,http://www.bbc.co.uk/news/technology-35204681,0,0.212121212121
business,http://www.bbc.co.uk/news/business-35208203,4,0.136890951276
health,http://www.bbc.co.uk/news/health-35199882,2,0.148648648649
business,http://www.bbc.co.uk/news/business-35201188,6,0.128755364807
world,http://www.bbc.co.uk/news/world-35205335,2,0.214285714286
uk,http://www.bbc.co.uk/news/uk-35208935,1,0.25
uk,http://www.bbc.co.uk/news/uk-35208362,5,0.14406779661
business,http://www.bbc.co.uk/news/business-35209305,7,0.203703703704
uk,http://www.bbc.co.uk/news/uk-england-35204022,8,0.150537634409
tech,http://www.bbc.co.uk/news/technology-35209117,2,0.208333333333
uk,http://www.bbc.co.uk/news/uk-35209118,1,0.264705882353
uk,http://www.bbc.co.uk/news/uk-england-35208797,5,0.136904761905
world,http://www.bbc.co.uk/news/world-35205174,8,0.130111524164
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35161295,6,0.153684210526
uk,http://www.bbc.co.uk/news/uk-england-35209457,3,0.157894736842
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35209348,2,0.135021097046
science,http://www.bbc.co.uk/news/science-environment-35175504,6,0.196428571429
science,http://www.bbc.co.uk/news/science-environment-35171408,7,0.132450331126
world,http://www.bbc.co.uk/news/world-35209119,2,0.333333333333
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35209648,6,0.13488372093
uk,http://www.bbc.co.uk/news/uk-35210006,6,0.186440677966
uk,http://www.bbc.co.uk/news/uk-35204869,0,0.151515151515
uk,http://www.bbc.co.uk/news/uk-35209368,3,0.141592920354
uk,http://www.bbc.co.uk/news/uk-england-35209929,2,0.25
uk,http://www.bbc.co.uk/news/uk-england-34806490,8,0.147435897436
uk,http://www.bbc.co.uk/news/uk-35210208,2,0.157894736842
uk,http://www.bbc.co.uk/news/uk-35209123,6,0.214285714286
uk,http://www.bbc.co.uk/news/uk-35210007,7,0.174496644295
uk,http://www.bbc.co.uk/news/uk-england-35210037,2,0.156626506024
uk,http://www.bbc.co.uk/news/uk-35209597,4,0.13468013468
world,http://www.bbc.co.uk/news/world-35210527,6,0.172413793103
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35210061,6,0.158415841584
health,http://www.bbc.co.uk/news/health-35210560,5,0.175
uk,http://www.bbc.co.uk/news/uk-35210565,1,0.189189189189
