section,doc_id,topic_id,probability
science,http://www.bbc.co.uk/news/science-environment-35208482,8,0.238452982192
business,http://www.bbc.co.uk/news/business-35152801,15,0.396131810132
uk,http://www.bbc.co.uk/news/uk-35208485,2,0.177324384865
tech,http://www.bbc.co.uk/news/technology-35204681,9,0.166491425785
business,http://www.bbc.co.uk/news/business-35208203,17,0.123552102278
health,http://www.bbc.co.uk/news/health-35199882,18,0.153439980997
business,http://www.bbc.co.uk/news/business-35201188,19,0.127255925068
world,http://www.bbc.co.uk/news/world-35205335,7,0.141947075546
uk,http://www.bbc.co.uk/news/uk-35208935,7,0.178425404238
uk,http://www.bbc.co.uk/news/uk-35208362,19,0.212740100522
business,http://www.bbc.co.uk/news/business-35209305,17,0.0884179809561
uk,http://www.bbc.co.uk/news/uk-england-35204022,17,0.233557889641
tech,http://www.bbc.co.uk/news/technology-35209117,9,0.264915488948
uk,http://www.bbc.co.uk/news/uk-35209118,7,0.121211237342
uk,http://www.bbc.co.uk/news/uk-england-35208797,7,0.218883613152
world,http://www.bbc.co.uk/news/world-35205174,9,0.14276311638
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35161295,7,0.177986841324
uk,http://www.bbc.co.uk/news/uk-england-35209457,8,0.155761179333
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35209348,8,0.107342784541
science,http://www.bbc.co.uk/news/science-environment-35175504,15,0.20123094416
science,http://www.bbc.co.uk/news/science-environment-35171408,15,0.0974691099239
world,http://www.bbc.co.uk/news/world-35209119,7,0.203809008711
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35209648,10,0.165134554934
uk,http://www.bbc.co.uk/news/uk-35210006,16,0.24662497261
uk,http://www.bbc.co.uk/news/uk-35204869,8,0.242391619895
uk,http://www.bbc.co.uk/news/uk-35209368,7,0.102773562541
uk,http://www.bbc.co.uk/news/uk-england-35209929,3,0.0942801564359
uk,http://www.bbc.co.uk/news/uk-england-34806490,9,0.18775224521
uk,http://www.bbc.co.uk/news/uk-35210208,9,0.113809016073
uk,http://www.bbc.co.uk/news/uk-35209123,19,0.265203860963
uk,http://www.bbc.co.uk/news/uk-35210007,19,0.127469924102
uk,http://www.bbc.co.uk/news/uk-england-35210037,0,0.131810351099
uk,http://www.bbc.co.uk/news/uk-35209597,17,0.195384356954
