section,doc_id,topic_id,probability
science,http://www.bbc.co.uk/news/science-environment-36104056,10,0.120837662385
health,http://www.bbc.co.uk/news/health-36105516,16,0.213727250781
health,http://www.bbc.co.uk/news/health-36101302,0,0.167984826492
business,http://www.bbc.co.uk/news/business-36107546,19,0.118164256583
business,http://www.bbc.co.uk/news/business-36108166,13,0.0947165949811
uk,http://www.bbc.co.uk/news/uk-36100805,5,0.149375435326
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36108133,5,0.0865526583098
uk,http://www.bbc.co.uk/news/uk-36103978,6,0.0940550263726
health,http://www.bbc.co.uk/news/health-36105272,15,0.145406061529
business,http://www.bbc.co.uk/news/business-36108378,6,0.101735752178
tech,http://www.bbc.co.uk/news/technology-36109194,1,0.152480220827
uk,http://www.bbc.co.uk/news/uk-england-36103590,0,0.140332975953
uk,http://www.bbc.co.uk/news/uk-england-36071044,10,0.164982475812
tech,http://www.bbc.co.uk/news/technology-35926737,1,0.271726655471
business,http://www.bbc.co.uk/news/business-36109421,13,0.143754095429
business,http://www.bbc.co.uk/news/business-36109754,0,0.181828912444
tech,http://www.bbc.co.uk/news/technology-36110228,11,0.175896768029
business,http://www.bbc.co.uk/news/business-36108480,17,0.132280501963
education,http://www.bbc.co.uk/news/education-36084844,13,0.0775284450637
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36080832,19,0.136272371349
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36109294,1,0.100016974318
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36101502,5,0.0891826620696
science,http://www.bbc.co.uk/news/science-environment-36098310,18,0.121598192838
business,http://www.bbc.co.uk/news/business-36110830,6,0.0944444702743
education,http://www.bbc.co.uk/news/education-36092765,12,0.147346982767
tech,http://www.bbc.co.uk/news/technology-36110421,18,0.151700174963
science,http://www.bbc.co.uk/news/science-environment-36051112,18,0.100691320641
education,http://www.bbc.co.uk/news/education-36110880,13,0.0844694618983
uk,http://www.bbc.co.uk/news/uk-england-36091818,1,0.111566675881
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111200,12,0.114494049718
education,http://www.bbc.co.uk/news/education-36108449,10,0.0940712667803
health,http://www.bbc.co.uk/news/health-36109759,9,0.153295027109
business,http://www.bbc.co.uk/news/business-36108385,10,0.11679305889
tech,http://www.bbc.co.uk/news/technology-36110422,13,0.195732276888
business,http://www.bbc.co.uk/news/business-36109689,6,0.148887035241
business,http://www.bbc.co.uk/news/business-36111551,17,0.32520018778
uk,http://www.bbc.co.uk/news/uk-england-36111412,0,0.115559938999
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111225,17,0.152603627455
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111208,18,0.16198120343
uk,http://www.bbc.co.uk/news/uk-36109196,18,0.268213657064
uk,http://www.bbc.co.uk/news/uk-36114226,7,0.259963798835
uk,http://www.bbc.co.uk/news/uk-36108514,8,0.176806126682
uk,http://www.bbc.co.uk/news/uk-england-london-36110279,10,0.0976999934373
business,http://www.bbc.co.uk/news/business-36110439,3,0.0982494846616
education,http://www.bbc.co.uk/news/education-36109164,13,0.124829822543
uk,http://www.bbc.co.uk/news/uk-england-36106712,2,0.101688596167
uk,http://www.bbc.co.uk/news/uk-36113466,0,0.103348063328
uk,http://www.bbc.co.uk/news/uk-36109197,1,0.189764322778
business,http://www.bbc.co.uk/news/business-36114100,18,0.150267291567
uk,http://www.bbc.co.uk/news/uk-36111375,17,0.0918329961411
tech,http://www.bbc.co.uk/news/technology-36105738,19,0.09383390801
health,http://www.bbc.co.uk/news/health-35226014,18,0.0969468521797
tech,http://www.bbc.co.uk/news/technology-36110425,18,0.169563679732
business,http://www.bbc.co.uk/news/business-36114491,3,0.110225616892
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36114266,7,0.110967083827
business,http://www.bbc.co.uk/news/business-36110626,18,0.108003495535
uk,http://www.bbc.co.uk/news/uk-england-36108184,13,0.0844522051959
uk,http://www.bbc.co.uk/news/uk-36115091,6,0.201442247974
uk,http://www.bbc.co.uk/news/uk-36115697,4,0.09288684145
education,http://www.bbc.co.uk/news/education-36110413,12,0.102282645087
uk,http://www.bbc.co.uk/news/uk-36116155,5,0.256040736035
business,http://www.bbc.co.uk/news/business-36111975,6,0.0977032661333
science,http://www.bbc.co.uk/news/science-environment-36111856,3,0.328348731808
uk,http://www.bbc.co.uk/news/uk-england-london-36108952,9,0.150855968883
uk,http://www.bbc.co.uk/news/uk-england-36112579,5,0.12716371703
uk,http://www.bbc.co.uk/news/uk-england-36111443,12,0.169878835889
world,http://www.bbc.co.uk/news/world-36116160,6,0.172947643245
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36114348,1,0.0923967626642
uk,http://www.bbc.co.uk/news/uk-england-36113012,2,0.109135479864
science,http://www.bbc.co.uk/news/science-environment-36108194,18,0.127736913442
world,http://www.bbc.co.uk/news/world-36117253,5,0.261221163884
uk,http://www.bbc.co.uk/news/uk-england-36113383,9,0.105651447416
uk,http://www.bbc.co.uk/news/uk-36117161,6,0.16684232366
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36056576,17,0.253482684187
uk,http://www.bbc.co.uk/news/uk-england-36113237,11,0.127755965097
uk,http://www.bbc.co.uk/news/uk-36115138,3,0.112550639459
uk,http://www.bbc.co.uk/news/uk-england-london-36112643,16,0.135803929631
business,http://www.bbc.co.uk/news/business-36115545,1,0.187187735274
business,http://www.bbc.co.uk/news/business-36117557,13,0.130350312578
business,http://www.bbc.co.uk/news/business-36113068,15,0.0925963133899
business,http://www.bbc.co.uk/news/business-36086012,5,0.118272584562
uk,http://www.bbc.co.uk/news/uk-36114677,17,0.0951734874482
uk,http://www.bbc.co.uk/news/uk-england-london-36116307,16,0.195627058433
uk,http://www.bbc.co.uk/news/uk-36116164,3,0.170686228759
uk,http://www.bbc.co.uk/news/uk-36117056,0,0.171271996931
world,http://www.bbc.co.uk/news/world-36117059,1,0.158091289266
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111226,18,0.269784311678
health,http://www.bbc.co.uk/news/health-36109992,5,0.110406456877
health,http://www.bbc.co.uk/news/health-36117230,18,0.104477689514
uk,http://www.bbc.co.uk/news/uk-36077183,18,0.0914505454041
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36119224,3,0.157075715437
world,http://www.bbc.co.uk/news/world-36114081,17,0.0836675883705
uk,http://www.bbc.co.uk/news/uk-36119327,4,0.186258238321
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36120000,18,0.0955340733178
uk,http://www.bbc.co.uk/news/uk-36119829,18,0.0787419159901
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36120246,1,0.127337038183
uk,http://www.bbc.co.uk/news/uk-36120780,6,0.144574460617
education,http://www.bbc.co.uk/news/education-36054748,13,0.150974699031
uk,http://www.bbc.co.uk/news/uk-36121694,6,0.14283509175
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111598,3,0.120860258719
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36119977,3,0.193597107646
uk,http://www.bbc.co.uk/news/uk-36122376,18,0.19932076302
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36120772,0,0.191755159134
business,http://www.bbc.co.uk/news/business-36113621,13,0.202924835813
health,http://www.bbc.co.uk/news/health-36119194,2,0.167116874372
health,http://www.bbc.co.uk/news/health-36113773,13,0.14185994626
education,http://www.bbc.co.uk/news/education-36122549,18,0.0878268095244
uk,http://www.bbc.co.uk/news/uk-36121463,17,0.107388406542
uk,http://www.bbc.co.uk/news/uk-36122901,6,0.127955002958
uk,http://www.bbc.co.uk/news/uk-36122382,6,0.414585304278
uk,http://www.bbc.co.uk/news/uk-36122933,17,0.263132401928
uk,http://www.bbc.co.uk/news/uk-36123142,6,0.122112979122
uk,http://www.bbc.co.uk/news/uk-36123140,6,0.194555894766
uk,http://www.bbc.co.uk/news/uk-36121465,5,0.0841198072773
science,http://www.bbc.co.uk/news/science-environment-36122618,16,0.0953920222148
uk,http://www.bbc.co.uk/news/uk-36120247,17,0.110316765415
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111591,17,0.15107163459
science,http://www.bbc.co.uk/news/science-environment-36123281,13,0.351322891606
uk,http://www.bbc.co.uk/news/uk-36123283,16,0.240947244805
business,http://www.bbc.co.uk/news/business-36123622,8,0.0805811994719
health,http://www.bbc.co.uk/news/health-36122966,3,0.10707575605
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36123370,17,0.270642843291
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36124372,9,0.141910354789
uk,http://www.bbc.co.uk/news/uk-england-33304527,18,0.189246414878
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36124374,18,0.134058341603
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36123966,12,0.110664905378
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36125494,10,0.159766033713
business,http://www.bbc.co.uk/news/business-36125495,13,0.212309695342
uk,http://www.bbc.co.uk/news/uk-36124343,13,0.271139944149
uk,http://www.bbc.co.uk/news/uk-england-36123615,13,0.0961195437195
science,http://www.bbc.co.uk/news/science-environment-36112137,3,0.127087334111
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36125496,18,0.2291260881
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36123214,13,0.0891239966056
business,http://www.bbc.co.uk/news/business-36124967,1,0.213719749187
uk,http://www.bbc.co.uk/news/uk-36125500,10,0.204080361938
uk,http://www.bbc.co.uk/news/uk-36125042,13,0.134167841603
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36126426,17,0.136508226922
business,http://www.bbc.co.uk/news/business-36126197,10,0.116576453283
uk,http://www.bbc.co.uk/news/uk-36124279,3,0.126757483291
business,http://www.bbc.co.uk/news/business-36113617,13,0.329747269578
business,http://www.bbc.co.uk/news/business-35974538,5,0.12388937145
business,http://www.bbc.co.uk/news/business-36099043,13,0.125082906218
business,http://www.bbc.co.uk/news/business-36113066,13,0.236416976046
tech,http://www.bbc.co.uk/news/technology-36116584,6,0.120843624755
health,http://www.bbc.co.uk/news/health-36095287,18,0.0808704678694
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36076141,17,0.0959728147787
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36110108,3,0.0925417796855
health,http://www.bbc.co.uk/news/health-36127555,5,0.21162722129
business,http://www.bbc.co.uk/news/business-36126965,19,0.105348469375
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36128261,8,0.234953770257
uk,http://www.bbc.co.uk/news/uk-england-london-36128887,11,0.226015927402
education,http://www.bbc.co.uk/news/education-36127558,16,0.144691226308
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36128069,12,0.123281975029
tech,http://www.bbc.co.uk/news/technology-36128745,17,0.0944933359537
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36128104,17,0.119621440221
education,http://www.bbc.co.uk/news/education-36101423,3,0.124053090059
business,http://www.bbc.co.uk/news/business-36126961,11,0.0911999497623
uk,http://www.bbc.co.uk/news/uk-england-london-36128886,19,0.176447993584
tech,http://www.bbc.co.uk/news/technology-36128184,17,0.223058729018
world,http://www.bbc.co.uk/news/world-36127562,1,0.208541997938
business,http://www.bbc.co.uk/news/business-35834473,2,0.108771026318
uk,http://www.bbc.co.uk/news/uk-36128695,11,0.106722033361
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36128100,13,0.123621772126
health,http://www.bbc.co.uk/news/health-36126740,13,0.136350336291
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36128106,13,0.127507251271
tech,http://www.bbc.co.uk/news/technology-36129370,6,0.135939260894
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36034978,3,0.0987755745864
uk,http://www.bbc.co.uk/news/uk-england-36128693,4,0.107490356012
health,http://www.bbc.co.uk/news/health-36128646,5,0.117269693865
uk,http://www.bbc.co.uk/news/uk-england-36130945,1,0.186879707738
business,http://www.bbc.co.uk/news/business-36128113,18,0.170247517343
uk,http://www.bbc.co.uk/news/uk-england-36127465,9,0.127745855084
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36130881,10,0.140353744064
tech,http://www.bbc.co.uk/news/technology-36131238,10,0.146789661604
science,http://www.bbc.co.uk/news/science-environment-36131442,18,0.135051273737
uk,http://www.bbc.co.uk/news/uk-36130760,5,0.14379424287
science,http://www.bbc.co.uk/news/science-environment-36130346,13,0.0993785141686
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36132902,17,0.0930533781135
education,http://www.bbc.co.uk/news/education-36127447,13,0.0995243429469
uk,http://www.bbc.co.uk/news/uk-england-london-36132678,9,0.0899979635677
uk,http://www.bbc.co.uk/news/uk-england-london-36132296,18,0.187211841084
uk,http://www.bbc.co.uk/news/uk-36133762,10,0.212033477547
business,http://www.bbc.co.uk/news/business-36133254,19,0.0998239861685
business,http://www.bbc.co.uk/news/business-36128856,17,0.116634885719
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36128075,18,0.125714360027
uk,http://www.bbc.co.uk/news/uk-36132171,18,0.167229025808
uk,http://www.bbc.co.uk/news/uk-36132954,3,0.158722376863
education,http://www.bbc.co.uk/news/education-36133065,16,0.108783430533
uk,http://www.bbc.co.uk/news/uk-england-london-36130321,17,0.111168178274
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36130885,10,0.164206949725
uk,http://www.bbc.co.uk/news/uk-36135722,17,0.173143745568
uk,http://www.bbc.co.uk/news/uk-36132956,4,0.195353597242
business,http://www.bbc.co.uk/news/business-36133259,18,0.150208168043
business,http://www.bbc.co.uk/news/business-36128864,1,0.114984322391
uk,http://www.bbc.co.uk/news/uk-england-london-36129283,13,0.108593239135
uk,http://www.bbc.co.uk/news/uk-england-london-36132293,18,0.150119871989
science,http://www.bbc.co.uk/news/science-environment-36116564,18,0.152186014716
health,http://www.bbc.co.uk/news/health-36132537,13,0.146120872862
uk,http://www.bbc.co.uk/news/uk-england-36131608,17,0.089564936812
tech,http://www.bbc.co.uk/news/technology-35934899,18,0.107788773113
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35959406,0,0.262764573405
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36129507,17,0.108435811708
business,http://www.bbc.co.uk/news/business-36134165,1,0.087632284894
health,http://www.bbc.co.uk/news/health-36135207,17,0.161234518033
business,http://www.bbc.co.uk/news/business-36131647,1,0.172817859891
business,http://www.bbc.co.uk/news/business-36129479,3,0.0906271767738
business,http://www.bbc.co.uk/news/business-36129408,6,0.119223253513
health,http://www.bbc.co.uk/news/health-36105275,3,0.0940668598257
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36136475,16,0.334140221692
business,http://www.bbc.co.uk/news/business-36136153,13,0.202180386798
