section,doc_id,topic_id,probability
business,http://www.bbc.co.uk/news/business-35246320,10,0.09686535313
business,http://www.bbc.co.uk/news/business-35314618,1,0.114775663622
uk,http://www.bbc.co.uk/news/uk-england-london-35158788,19,0.153656981758
tech,http://www.bbc.co.uk/news/technology-35222276,7,0.22493155628
uk,http://www.bbc.co.uk/news/uk-35319022,6,0.1978450972
business,http://www.bbc.co.uk/news/business-35320167,12,0.165852139075
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35311548,10,0.129439814769
health,http://www.bbc.co.uk/news/health-35304105,11,0.146976462031
health,http://www.bbc.co.uk/news/health-35311578,16,0.223542352824
health,http://www.bbc.co.uk/news/health-35312461,9,0.103937604054
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35320217,16,0.380405847138
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35320220,4,0.293390779819
uk,http://www.bbc.co.uk/news/uk-england-35235528,16,0.133205533387
business,http://www.bbc.co.uk/news/business-35242514,10,0.121871603164
uk,http://www.bbc.co.uk/news/uk-england-35314864,8,0.142472763663
uk,http://www.bbc.co.uk/news/uk-35320126,6,0.1309671174
tech,http://www.bbc.co.uk/news/technology-35320436,15,0.22168261346
uk,http://www.bbc.co.uk/news/uk-england-35280935,14,0.128905587931
science,http://www.bbc.co.uk/news/science-environment-35320930,11,0.1347374717
business,http://www.bbc.co.uk/news/business-35320918,1,0.169612229597
uk,http://www.bbc.co.uk/news/uk-england-35319673,16,0.139193683091
business,http://www.bbc.co.uk/news/business-35320174,12,0.103393145227
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35316116,19,0.1844802807
uk,http://www.bbc.co.uk/news/uk-35321122,9,0.22015018498
tech,http://www.bbc.co.uk/news/technology-35321225,16,0.18407295916
tech,http://www.bbc.co.uk/news/technology-35321227,1,0.39602967987
science,http://www.bbc.co.uk/news/science-environment-35320938,1,0.106884727382
business,http://www.bbc.co.uk/news/business-35321723,16,0.127405665102
uk,http://www.bbc.co.uk/news/uk-england-london-35321075,0,0.210202238452
uk,http://www.bbc.co.uk/news/uk-england-35251087,1,0.115363738105
uk,http://www.bbc.co.uk/news/uk-35322474,3,0.263634584586
