section,doc_id,topic_id,probability
business,http://www.bbc.co.uk/news/business-35246320,14,0.0893808078766
business,http://www.bbc.co.uk/news/business-35314618,9,0.168359736487
uk,http://www.bbc.co.uk/news/uk-england-london-35158788,1,0.149445815731
tech,http://www.bbc.co.uk/news/technology-35222276,13,0.234174428702
uk,http://www.bbc.co.uk/news/uk-35319022,14,0.262713473084
business,http://www.bbc.co.uk/news/business-35320167,4,0.119480885655
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35311548,17,0.112290553338
health,http://www.bbc.co.uk/news/health-35304105,6,0.114732411475
health,http://www.bbc.co.uk/news/health-35311578,12,0.0952557526449
health,http://www.bbc.co.uk/news/health-35312461,12,0.129229980579
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35320217,4,0.215123614418
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35320220,14,0.301262424816
uk,http://www.bbc.co.uk/news/uk-england-35235528,4,0.106463520062
business,http://www.bbc.co.uk/news/business-35242514,8,0.098168087575
uk,http://www.bbc.co.uk/news/uk-england-35314864,17,0.117510053011
uk,http://www.bbc.co.uk/news/uk-35320126,9,0.151639073693
tech,http://www.bbc.co.uk/news/technology-35320436,17,0.102591342044
uk,http://www.bbc.co.uk/news/uk-england-35280935,4,0.142403511808
science,http://www.bbc.co.uk/news/science-environment-35320930,13,0.160031743208
business,http://www.bbc.co.uk/news/business-35320918,0,0.0907313772776
uk,http://www.bbc.co.uk/news/uk-england-35319673,19,0.15339824184
business,http://www.bbc.co.uk/news/business-35320174,8,0.150394369607
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35316116,4,0.121480560034
uk,http://www.bbc.co.uk/news/uk-35321122,6,0.247323823109
tech,http://www.bbc.co.uk/news/technology-35321225,4,0.172835365299
tech,http://www.bbc.co.uk/news/technology-35321227,13,0.181579373894
science,http://www.bbc.co.uk/news/science-environment-35320938,12,0.0887855062049
business,http://www.bbc.co.uk/news/business-35321723,1,0.0762494032363
uk,http://www.bbc.co.uk/news/uk-england-london-35321075,19,0.126230215319
uk,http://www.bbc.co.uk/news/uk-england-35251087,18,0.0793215838743
uk,http://www.bbc.co.uk/news/uk-35322474,0,0.205383211309
science,http://www.bbc.co.uk/news/science-environment-35322257,6,0.128307890516
uk,http://www.bbc.co.uk/news/uk-35323207,9,0.194106080069
business,http://www.bbc.co.uk/news/business-35320831,6,0.0994332216046
tech,http://www.bbc.co.uk/news/technology-35322394,15,0.130091290522
business,http://www.bbc.co.uk/news/business-35320678,17,0.130633140205
business,http://www.bbc.co.uk/news/business-35322097,19,0.348179638221
science,http://www.bbc.co.uk/news/science-environment-35320934,6,0.183845950028
education,http://www.bbc.co.uk/news/education-35313804,15,0.123648498748
health,http://www.bbc.co.uk/news/health-35322168,18,0.0916916227441
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35323922,2,0.136626182902
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35322848,4,0.17481514836
uk,http://www.bbc.co.uk/news/uk-35322354,15,0.1522889546
uk,http://www.bbc.co.uk/news/uk-35318389,6,0.0964047047445
uk,http://www.bbc.co.uk/news/uk-35311337,4,0.134195107386
uk,http://www.bbc.co.uk/news/uk-england-london-35321079,18,0.148340176976
uk,http://www.bbc.co.uk/news/uk-35321257,9,0.108574334207
education,http://www.bbc.co.uk/news/education-35325515,15,0.232927638481
uk,http://www.bbc.co.uk/news/uk-england-london-35323587,1,0.257774239942
business,http://www.bbc.co.uk/news/business-35322099,1,0.155400748415
uk,http://www.bbc.co.uk/news/uk-england-35323535,10,0.129617052593
tech,http://www.bbc.co.uk/news/technology-35324997,16,0.104457289774
business,http://www.bbc.co.uk/news/business-35323688,15,0.137078264414
health,http://www.bbc.co.uk/news/health-35320929,1,0.134485993701
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35321410,19,0.123080928579
health,http://www.bbc.co.uk/news/health-35325852,8,0.24388697819
business,http://www.bbc.co.uk/news/business-35325729,8,0.146140034653
